Customer ID,Customer Name,Sales,Profit,Orders
AA-10315,Alex Avila,5563.56,-362.8825,5
AA-10375,Allen Armold,1056.39,277.3824,9
AA-10480,Andrew Allen,1790.5120000000002,435.8274,4
AA-10645,Anna Andreadi,5086.9349999999995,857.8033,6
AB-10015,Aaron Bergman,886.156,129.3465,3
AB-10060,Adam Bellavance,7755.62,2054.5885,8
AB-10105,Adrian Barton,14473.570999999998,5444.8055,10
AB-10150,Aimee Bixby,966.71,313.6597,5
AB-10165,Alan Barnes,1113.838,220.813,8
AB-10255,Alejandro Ballentine,914.5319999999999,264.5675,9
AB-10600,Ann Blume,1515.862,-274.9604,4
AC-10420,Alyssa Crouse,925.8,-62.1342,3
AC-10450,Amy Cox,5527.846,1366.0098,7
AC-10615,Ann Chong,2537.6859999999997,298.8273,5
AC-10660,Anna Chung,657.316,-28.700399999999995,5
AD-10180,Alan Dominguez,6106.88,1869.9294,8
AF-10870,Art Ferguson,2052.908,317.9712,7
AF-10885,Art Foster,861.565,-163.1175,4
AG-10270,Alejandro Grove,2582.898,732.7399,5
AG-10300,Aleksandra Gannaway,367.548,59.288399999999996,4
AG-10330,Alex Grayson,660.972,-5.137100000000006,5
AG-10390,Allen Goldenen,200.945,69.2784,5
AG-10495,Andrew Gjertsen,2356.855,295.6668,8
AG-10525,Andy Gerbode,1455.038,-152.7613,4
AG-10675,Anna Gayman,3489.0396000000005,-246.42570000000003,7
AG-10765,Anthony Garverick,170.584,-8.431000000000001,4
AG-10900,Arthur Gainer,4510.797,343.6824,10
AH-10030,Aaron Hawkins,1744.7,365.2152,7
AH-10075,Adam Hart,3250.337,281.189,10
AH-10120,Adrian Hane,1735.5140000000001,-2.3145999999999773,7
AH-10195,Alan Haines,1587.452,-378.5509,4
AH-10210,Alan Hwang,4805.344,1308.5546,9
AH-10465,Amy Hunt,2495.3916,-196.12009999999998,5
AH-10585,Angele Hood,738.504,83.96300000000001,4
AH-10690,Anna HÃ¤berlin,7888.294,1298.0166,12
AI-10855,Arianne Irving,4375.786,867.7271000000001,10
AJ-10780,Anthony Jacobs,4867.344,150.71300000000005,7
AJ-10795,Anthony Johnson,4501.391,1158.7064,7
AJ-10945,Ashley Jarboe,1839.24,521.1351999999999,7
AJ-10960,Astrea Jones,629.2479999999999,60.4265,3
AM-10360,Alice McCarthy,814.012,194.9878,5
AM-10705,Anne McFarland,5664.022,1085.7326,8
AO-10810,Anthony O'Donnell,161.28,12.096,1
AP-10720,Anne Pryor,1638.554,285.7888,8
AP-10915,Arthur Prichep,3323.556,579.3113,10
AR-10345,Alex Russell,1055.694,-221.0544,4
AR-10405,Allen Rosenblatt,2236.128,-98.7646,5
AR-10510,Andrew Roberts,264.86400000000003,43.6695,5
AR-10540,Andy Reiter,6608.448,2884.6208,6
AR-10570,Anemone Ratner,88.15,32.633,1
AR-10825,Anthony Rawles,4523.336,494.83519999999993,8
AS-10045,Aaron Smayling,3050.692,-253.57459999999998,7
AS-10090,Adam Shillingsburg,3255.31,64.53739999999998,9
AS-10135,Adrian Shami,58.82,21.8496,2
AS-10225,Alan Schoenberger,4260.784,719.7751000000001,5
AS-10240,Alan Shonely,584.6080000000001,33.715799999999994,7
AS-10285,Alejandro Savely,3214.236,354.62760000000003,6
AS-10630,Ann Steele,833.398,136.49190000000002,7
AT-10435,Alyssa Tate,1171.814,100.87680000000002,6
AT-10735,Annie Thurman,3831.864,974.107,10
AW-10840,Anthony Witt,649.376,65.77250000000001,4
AW-10930,Arthur Wiediger,2852.968,-104.5486,7
AY-10555,Andy Yotov,497.014,103.3499,4
AZ-10750,Annie Zypern,1622.0179999999998,154.9503,6
BB-10990,Barry Blumstein,744.3399999999999,11.583900000000007,5
BB-11545,Brenda Bowman,6765.728,1015.0749999999999,9
BC-11125,Becky Castell,2933.676,251.5974,9
BD-11320,Bill Donatelli,5718.521,1094.5037,12
BD-11500,Bradley Drucker,4411.2429999999995,1142.1225,6
BD-11560,Brendan Dodson,320.54,116.714,2
BD-11605,Brian Dahlen,3288.471,634.8463,7
BD-11620,Brian DeCherney,1538.11,206.75689999999997,6
BD-11635,Brian Derr,582.646,141.53400000000002,3
BD-11725,Bruce Degenhardt,1526.5,333.9791,6
BD-11770,Bryan Davis,658.466,141.265,6
BE-11335,Bill Eplett,4204.676,1487.7739000000001,5
BE-11410,Bobby Elias,2261.438,755.9150999999999,5
BE-11455,Brad Eason,1727.652,139.20080000000002,6
BF-10975,Barbara Fisher,599.798,227.4384,7
